"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","11","1","1","11.904650","0","65"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","6","1","1","0.000000","0","26"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","31","1","1","21.369011","0","351"
"/Engine/VREditor/TransformGizmo/Main.Main","0","6","1","1","3.532846","0","26"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","6","6","1","6.923917","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","34","1","1","24.267183","0","599"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","18","1","1","11.301667","0","144"
"/Game/Niagara/EndLevel_Fog/M_DustJCS.M_DustJCS","0","16","4","1","9.448225","0","116"
"","0","1","0","1","0.000000","3","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","28","6","33.251915","0","444"
"/Game/StarterContent/FirstPersonArms/Character/Materials/M_Mannequin.M_Mannequin","0","64","5","2","48.282066","0","501"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","22","1","1","13.937385","0","275"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","10","1","1","5.700545","0","73"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","8","1","1","4.375332","0","37"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","7","1","1","3.650268","0","34"
"/Game/StarterContent/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","90","6","3","61.745609","0","773"
"/Game/Materials/M_Sconce_Light.M_Sconce_Light","0","38","1","1","86.843437","0","503"
"/Game/Materials/M_Glass_MG.M_Glass_MG","0","68","4","1","143.961227","0","894"
"/Interchange/gltf/M_Default.M_Default","0","159","21","6","186.690048","0","1398"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","11","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","40","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","8","1","0.000000","0","0"
